Date,Open,High,Low,Close,Adj Close,Volume
2023-12-20,35.730000,36.400002,35.459999,35.470001,35.272194,16585400
2023-12-21,35.830002,36.320000,35.689999,36.250000,36.047844,18421900
2023-12-22,36.110001,36.619999,35.840000,36.020000,35.819126,15020900
2023-12-26,36.020000,36.419998,36.020000,36.130001,35.928516,10733900
2023-12-27,36.099998,36.259998,35.700001,36.080002,35.878796,11128500
2023-12-28,36.000000,36.240002,35.910000,36.200001,35.998123,9719400
2023-12-29,36.130001,36.459999,35.860001,35.919998,35.719685,14124700
2024-01-02,35.639999,36.630001,35.439999,36.049999,35.848957,17501300
2024-01-03,35.509998,35.619999,34.700001,35.270000,35.073311,20308800
2024-01-04,35.660000,35.980000,35.279999,35.490002,35.292084,20138000
2024-01-05,35.509998,36.610001,35.439999,35.990002,35.789299,14996100
2024-01-08,35.830002,36.849998,35.820000,36.700001,36.495335,13774800
2024-01-09,36.349998,36.730000,36.189999,36.540001,36.336227,13892800
2024-01-10,36.570000,36.619999,35.990002,36.310001,36.107513,16042600
2024-01-11,36.110001,36.250000,35.610001,35.860001,35.660019,14628200
2024-01-12,35.669998,36.119999,35.200001,35.259998,35.063362,16649600
2024-01-16,34.730000,35.580002,34.619999,35.389999,35.192638,18287200
2024-01-17,34.830002,35.209999,34.730000,35.009998,34.814754,15352800
2024-01-18,35.299999,35.360001,34.320000,34.580002,34.387157,22571800
2024-01-19,34.590000,35.660000,34.340000,35.509998,35.311970,17595100
2024-01-22,35.549999,36.049999,35.279999,35.320000,35.123032,15127100
2024-01-23,35.619999,35.759998,34.939999,35.230000,35.033531,16822800
2024-01-24,35.290001,35.599998,34.560001,34.700001,34.506489,15483400
2024-01-25,34.959999,35.259998,34.709999,35.160000,34.963924,21520300
2024-01-26,35.160000,35.549999,35.040001,35.180000,34.983810,14190100
2024-01-29,35.200001,35.610001,34.930000,35.389999,35.192638,24054800
2024-01-30,38.349998,38.959999,37.400002,38.150002,37.937252,57982600
2024-01-31,38.200001,39.750000,38.130001,38.799999,38.583626,34203100
2024-02-01,39.180000,39.310001,38.529999,38.869999,38.653233,21343000
2024-02-02,38.529999,39.189999,38.290001,38.910000,38.693012,19817100
2024-02-05,38.529999,38.689999,37.680000,37.790001,37.579258,19722400
2024-02-06,37.599998,38.669998,37.599998,38.029999,37.817917,16280200
